run_id	aspect	sentiment	split	entity_id	sentence_index	sentence	sentiment_label	matched_sentiment_keywords	rank	score	source_review_id	source_entity_id	source_sentence_index	was_truncated	output_path
space_hasos_full_e20	AM_ENT	neg	dev	197424	1	TV channels mostly non english, I remember there is only 2 or 3 english channels, can be boring for kids who wants their usual cartoon channels.	neg	["boring"]	1	-0.0010427124798297882	UR62755672	197424	7	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neg/dev_197424
space_hasos_full_e20	AM_ENT	neu	dev	100585	1	I filled out one of their comment cards with a minor complaint (we found the tv system cumbersome) and I actualy received an e mail from the hotel management!	neu	[]	1	0.0009498968720436096	UR124742571	100585	3	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_100585
space_hasos_full_e20	AM_ENT	neu	dev	100585	2	Each room is named after a Washington winery, and one of	neu	[]	2	0.0016783569008111954	UR58325884	100585	1	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_100585
space_hasos_full_e20	AM_ENT	neu	dev	100597	1	Our room had two sinks,a flat screen TV, and two comfortable beds.	neu	[]	1	-0.0031267013400793076	UR79236677	100597	2	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_100597
space_hasos_full_e20	AM_ENT	neu	dev	100597	2	Two flat screen TV's-sitting room w/ leather sofa, tables and chairs.	neu	[]	2	-0.0021000374108552933	UR33415976	100597	11	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_100597
space_hasos_full_e20	AM_ENT	neu	dev	100597	3	Decent size with flat panel TV, and normal size bathroom.	neu	[]	3	-0.000762544572353363	UR62695987	100597	5	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_100597
space_hasos_full_e20	AM_ENT	neu	dev	100597	4	There was a good TV, and nice	neu	[]	4	0.0018914658576250076	UR108722477	100597	5	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_100597
space_hasos_full_e20	AM_ENT	neu	dev	1029276	1	Room was great, very large corner room, nice flat panel TV, fridge, the 2 outer walls were basically floor to ceiling windows with amazing views.	neu	[]	1	-0.00014070607721805573	UR31514681	1029276	2	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_1029276
space_hasos_full_e20	AM_ENT	neu	dev	1029276	2	Not the best area at night TV cable kept going out Conference rooms are cold	neu	[]	2	0.0003353990614414215	UR124679988	1029276	4	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_1029276
space_hasos_full_e20	AM_ENT	neu	dev	1064610	1	The location is great, right near the entertainment district, within walking distance of the old port and lots of shopping, restaurants, and other attractions.	neu	[]	1	-0.0035466738045215607	UR87553344	1064610	2	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_sentiment/AM_ENT__neu/dev_1064610
