run_id	source_run_id	model_name	aspect	split	entity_id	summary	evidence_count	evidence_used	copied_from_evidence	status	output_path	source_path
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	100585	Each room is named after a Washington winery, and one of	2	2	True	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_100585	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100585
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	100597	We stayed at this hotel for the first time, and it was a good experience.	4	4	False	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_100597	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100597
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	1029276	Not the best area at night TV cable kept going out Conference rooms are cold	2	2	True	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_1029276	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1029276
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	1064610	The location is great, right near the entertainment district, within walking distance of the old port and lots of shopping, restaurants, and other attractions. The room was ordinary (2 queen-size beds, TV, fridge, microwave, coffee-maker, small bathroom).	3	3	False	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_1064610	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1064610
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	1113787	The room was spacious enough, with a big glass wall on the outside, a 42" flat screen TV, and terrific lighting arrangements that allowed you to adjust the brightness in various parts of the room.	2	2	True	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_1113787	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1113787
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	111509	The room was very clean, tastefully decorated and had great amenities such as Wi-Fi, a flat screen TV, DVD player, etc.	3	3	False	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_111509	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_111509
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	112429	The room was OK, typical hotel room with queen bed, desk, TV, clock radio, coffee maker. The rooms were very well decorated, with a flat screen tv, marble bathroom, great view, etc.	3	3	False	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_112429	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_112429
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	1176198	The location is ideal for a visitor to the city, within easy walking distance of the entertainment district, the business	2	2	False	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_1176198	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1176198
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	120274	The room was very basic with some odor (I think due to rooms shut all day not getting aired) twin beds, tv, safe, coffe maker, ironing board/iron, hair dryer, table and chairs, small dressing area, bath with shower.	2	2	False	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_120274	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_120274
space_hasos_full_e20_abstractive	space_hasos_full_e20	google/flan-t5-base	AM_ENT	dev	121241	The free breakfast was very good and they have entertainment while you eat. The breakfast was good and the breakfast entertainment was a nice touch.	4	4	False	generated	/home/llm/llm/tesing/outputs/space_hasos_full_e20_abstractive/AM_ENT/dev_121241	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_121241
