run_id	aspect	split	entity_id	sentence_index	sentence	rank	score	source_review_id	source_entity_id	source_sentence_index	matched_aspect_seed	was_truncated	output_path
space_hasos_full_e20	AM_ENT	dev	100585	1	I filled out one of their comment cards with a minor complaint (we found the tv system cumbersome) and I actualy received an e mail from the hotel management!	1	0.0009498968720436096	UR124742571	100585	3	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100585
space_hasos_full_e20	AM_ENT	dev	100585	2	Each room is named after a Washington winery, and one of	2	0.0016783569008111954	UR58325884	100585	1	["tv"]	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100585
space_hasos_full_e20	AM_ENT	dev	100597	1	Our room had two sinks,a flat screen TV, and two comfortable beds.	1	-0.0031267013400793076	UR79236677	100597	2	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100597
space_hasos_full_e20	AM_ENT	dev	100597	2	Two flat screen TV's-sitting room w/ leather sofa, tables and chairs.	2	-0.0021000374108552933	UR33415976	100597	11	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100597
space_hasos_full_e20	AM_ENT	dev	100597	3	Decent size with flat panel TV, and normal size bathroom.	3	-0.000762544572353363	UR62695987	100597	5	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100597
space_hasos_full_e20	AM_ENT	dev	100597	4	There was a good TV, and nice	4	0.0018914658576250076	UR108722477	100597	5	["tv"]	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_100597
space_hasos_full_e20	AM_ENT	dev	1029276	1	Room was great, very large corner room, nice flat panel TV, fridge, the 2 outer walls were basically floor to ceiling windows with amazing views.	1	-0.00014070607721805573	UR31514681	1029276	2	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1029276
space_hasos_full_e20	AM_ENT	dev	1029276	2	Not the best area at night TV cable kept going out Conference rooms are cold	2	0.0003353990614414215	UR124679988	1029276	4	["tv"]	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1029276
space_hasos_full_e20	AM_ENT	dev	1064610	1	The location is great, right near the entertainment district, within walking distance of the old port and lots of shopping, restaurants, and other attractions.	1	-0.0035466738045215607	UR87553344	1064610	2	["entertainment"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1064610
space_hasos_full_e20	AM_ENT	dev	1064610	2	The room was ordinary (2 queen-size beds, TV, fridge, microwave, coffee-maker, small bathroom).	2	-0.0024226121604442596	UR36826653	1064610	7	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1064610
space_hasos_full_e20	AM_ENT	dev	1064610	3	The location is	3	-0.0013857856392860413	UR119163437	1064610	2	["entertainment"]	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1064610
space_hasos_full_e20	AM_ENT	dev	1113787	1	The room was spacious enough, with a big glass wall on the outside, a 42" flat screen TV, and terrific lighting arrangements that allowed you to adjust the brightness in various parts of the room.	1	-0.00793561339378357	UR27679053	1113787	7	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1113787
space_hasos_full_e20	AM_ENT	dev	1113787	2	The comfort level of our	2	-0.00559178926050663	UR102675646	1113787	4	["tv"]	True	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_1113787
space_hasos_full_e20	AM_ENT	dev	111509	1	The room itself was very clean, tastefully decorated and had great amenities such as Wi-Fi, a flat screen TV, DVD player, etc.	1	0.0018358342349529266	UR50950510	111509	3	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_111509
space_hasos_full_e20	AM_ENT	dev	111509	2	TV is old with poor reception, like those found in roadside motel.	2	0.0029201731085777283	UR78839627	111509	5	["tv"]	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20/AM_ENT/dev_111509
