run_id	aspect	sentiment	split	entity_id	sentence_index	sentence	sentiment_label	matched_sentiment_keywords	rank	score	source_review_id	source_entity_id	source_sentence_index	was_truncated	output_path
space_hasos_full_e20_ranked	AM_ENT	neg	dev	197424	1	TV channels mostly non english, I remember there is only 2 or 3 english channels, can be boring for kids who wants their usual cartoon channels.	neg	["boring"]	1	-0.0010427869856357574	UR62755672	197424	7	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neg/dev_197424
space_hasos_full_e20_ranked	AM_ENT	neg	test	228653	1	likes: , convenient price, polite staff, near to Passeig de Gracia which is an elegant quarter, central ( 1 metro station to Placa de Catalunya ), good music dislikes: thin walls, small rooms, no daylight in the rooms, limited english tv channel	neg	["limited"]	2	0.003278307616710663	UR85624389	228653	1	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neg/test_228653
space_hasos_full_e20_ranked	AM_ENT	neg	test	228986	1	Incomplete TV reception on an enormous vintage set, no wifi (had to go to outdated business centre and then asked to pay...which seems so tight given price of rooms) only mens magazines on side table, awful complimentary shampoo etc (not even conditioner)....in fact a no sense of luxury at all.	neg	["outdated"]	3	0.002507314085960388	UR41337061	228986	1	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neg/test_228986
space_hasos_full_e20_ranked	AM_ENT	neu	dev	100585	1	I filled out one of their comment cards with a minor complaint (we found the tv system cumbersome) and I actualy received an e mail from the hotel management!	neu	[]	1	0.0009499341249465942	UR124742571	100585	3	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neu/dev_100585
space_hasos_full_e20_ranked	AM_ENT	neu	dev	100585	2	Each room is named after a Washington winery, and one of the hotel's TV channels broadcasts a WA wine country documentary 24/7.	neu	[]	2	0.001678435131907463	UR58325884	100585	1	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neu/dev_100585
space_hasos_full_e20_ranked	AM_ENT	neu	dev	100585	3	The little work out room is kind of a joke, but it is a clean and well appointed joke...the TV (w/headphones) on the exercise machines is nice.	neu	[]	3	0.0018258243799209595	UR95320411	100585	4	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neu/dev_100585
space_hasos_full_e20_ranked	AM_ENT	neu	dev	100585	4	But there was in-room yoga on the TV and they gave me a yoga mat.	neu	[]	4	0.0027439258992671967	UR23932651	100585	11	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neu/dev_100585
space_hasos_full_e20_ranked	AM_ENT	neu	dev	100597	1	Our room had two sinks,a flat screen TV, and two comfortable beds.	neu	[]	1	-0.003126656636595726	UR79236677	100597	2	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neu/dev_100597
space_hasos_full_e20_ranked	AM_ENT	neu	dev	100597	2	Two flat screen TV's-sitting room w/ leather sofa, tables and chairs.	neu	[]	2	-0.0020999405533075333	UR33415976	100597	11	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neu/dev_100597
space_hasos_full_e20_ranked	AM_ENT	neu	dev	100597	3	Decent size with flat panel TV, and normal size bathroom.	neu	[]	3	-0.0007625054568052292	UR62695987	100597	5	False	/home/llm/llm/tesing/outputs/space_hasos_full_e20_ranked_sentiment/AM_ENT__neu/dev_100597
